weight,name,listeners
-0.028774687002827242,Febre90s,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028729779481001534,Green Day,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028638067047938334,Crystal Castles,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.028357684566335525,John Coltrane Quartet,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028228587050742777,Los Hermanos,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02766745905401341,$uicideboy$,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.027302286649366896,Black Eyed Peas,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.027080853169980015,The Smashing Pumpkins,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.027021443603579286,The Cranberries,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.026757732247633254,TWICE,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.025693394728877626,Alphaville,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.02565299260247958,BK,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-0.025406554616088605,Mowmow Lulu Gyaban,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.025273012888404413,Engenheiros Do Hawaii,"['PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02511634134854369,Os Originais Do Samba,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02501530403830574,Cannibal Corpse,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.024817694375971266,Audioslave,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.024794743912517667,Paula Fernandes,"['PbzSmith', 'OsvaldoMusicas']"
-0.024597306837945556,Cortex,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.024332404811668026,Kendrick Lamar,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-0.02419857970491978,Elis Regina,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.023808702008277206,Serú Girán,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-0.023329181694659154,Lush,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.023292717312711715,Men at Work,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.02259110872391368,Clairo,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02253510129357899,Chase Atlantic,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022523046318404214,wave to earth,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022495750065335725,Masayoshi Takanaka,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022443697544161686,Milton Nascimento,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.022270511706454107,BLACKPINK,"['Jackson_Joe', 'PbzSmith', 'OsvaldoMusicas']"
-0.022123096790868338,aespa,"['PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022122936863666603,Rogério Skylab,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.022087263922098217,Stan Getz,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.02200058695361002,Bob Dylan,"['PbzSmith', 'suicidxbladxs']"
-0.02195942539805336,Miles Davis Quintet,"['PbzSmith', 'haimond', 'suicidxbladxs']"
-0.02178185890085823,Ice Cube,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.021585040627516375,DANGERDOOM,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.021537363126346756,Pantera,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.02148848424804147,Toquinho,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.021241909201928734,Blanket,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.021150713975992386,Tears for Fears,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
